Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Numero di telefono;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.NUMERO_DI_TELEFONO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Indirizzo Residenza ;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.INDIRIZZO_RESIDENZA
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.SAE;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.SAE
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Elenco.Sesso;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.ELENCO.SESSO
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Azioni.Vedi cointestazioni ;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.AZIONI.VEDI_COINTESTAZIONI
Posizione.Dettagli.Anagrafica Controparti.Sezione controparte.Azioni.Vedi posizione ;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.SEZIONE_CONTROPARTE.AZIONI.VEDI_POSIZIONE
Posizione.Dettagli.Anagrafica Controparti.Vedi Cointestazioni.Titolo;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_COINTESTAZIONI.TITOLO
Posizione.Dettagli.Anagrafica Controparti.Vedi Posizione.Titolo;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_POSIZIONE.TITOLO
Posizione.Dettagli.Anagrafica Controparti.Vedi Cointestazioni.Denominazione;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_COINTESTAZIONI.DENOMINAZIONE
Posizione.Dettagli.Anagrafica Controparti.Vedi Cointestazioni.GBV Tot;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_COINTESTAZIONI.GBV_TOT
Posizione.Dettagli.Anagrafica Controparti.Vedi Cointestazioni.NDG controparte;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_COINTESTAZIONI.NDG_CONTROPARTE
Posizione.Dettagli.Anagrafica Controparti.Vedi Posizione.Denominazione;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_POSIZIONE.DENOMINAZIONE
Posizione.Dettagli.Anagrafica Controparti.Vedi Posizione.GBV Tot;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_POSIZIONE.GBV_TOT
Posizione.Dettagli.Anagrafica Controparti.Vedi Posizione.NDG controparte;POSIZIONE.DETTAGLI.ANAGRAFICA_CONTROPARTI.VEDI_POSIZIONE.NDG_CONTROPARTE
Posizione.business plan.elenco.Data ora aggiornamento;POSIZIONE.BUSINESS_PLAN.ELENCO.DATA_ORA_AGGIORNAMENTO
Posizione.business plan.elenco.IRR;POSIZIONE.BUSINESS_PLAN.ELENCO.IRR
Posizione.business plan.elenco.messaggio.nessun business plan ;POSIZIONE.BUSINESS_PLAN.ELENCO.MESSAGGIO.NESSUN_BUSINESS_PLAN
Posizione.business plan.elenco.MOIC;POSIZIONE.BUSINESS_PLAN.ELENCO.MOIC
Posizione.business plan.elenco.MV;POSIZIONE.BUSINESS_PLAN.ELENCO.MV
Posizione.business plan.elenco.Strategia;POSIZIONE.BUSINESS_PLAN.ELENCO.STRATEGIA
Posizione.business plan.elenco.tipo business plan;POSIZIONE.BUSINESS_PLAN.ELENCO.TIPO_BUSINESS_PLAN
Posizione.business plan.elenco.Utente aggiornamento;POSIZIONE.BUSINESS_PLAN.ELENCO.UTENTE_AGGIORNAMENTO
Posizione.business plan.elenco.Versione;POSIZIONE.BUSINESS_PLAN.ELENCO.VERSIONE
Posizione.business plan.elenco.WAL;POSIZIONE.BUSINESS_PLAN.ELENCO.WAL
Posizione.business plan.azioni.Cancella;POSIZIONE.BUSINESS_PLAN.AZIONI.CANCELLA
Posizione.business plan.azioni.Carica Business plan;POSIZIONE.BUSINESS_PLAN.AZIONI.CARICA_BUSINESS_PLAN
Posizione.business plan.azioni.Download;POSIZIONE.BUSINESS_PLAN.AZIONI.DOWNLOAD
Posizione.business plan.azioni.selezione.budget;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE.BUDGET
Posizione.business plan.azioni.selezione.Delibere;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE.DELIBERE
Posizione.business plan.azioni.selezione.gestore;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE.GESTORE
Posizione.business plan.azioni.selezione.tutti;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE.TUTTI
Posizione.business plan.azioni.selezione.underwriting;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE.UNDERWRITING
Posizione.business plan.azioni.Selezione Tipologia Di Businees Plan Visualizzati;POSIZIONE.BUSINESS_PLAN.AZIONI.SELEZIONE_TIPOLOGIA_DI_BUSINEES_PLAN_VISUALIZZATI
Posizione.business plan.azioni.modale conferma.messaggio;POSIZIONE.BUSINESS_PLAN.AZIONI.MODALE_CONFERMA.MESSAGGIO
Posizione.business plan.azioni.modale conferma.annulla;POSIZIONE.BUSINESS_PLAN.AZIONI.MODALE_CONFERMA.ANNULLA
Posizione.business plan.azioni.modale conferma.conferma;POSIZIONE.BUSINESS_PLAN.AZIONI.MODALE_CONFERMA.CONFERMA
Posizione.Dettagli.Menu.Collegamenti;POSIZIONE.DETTAGLI.MENU.COLLEGAMENTI
Posizione.Dettagli.Menu.Controparti;POSIZIONE.DETTAGLI.MENU.CONTROPARTI
Posizione.Dettagli.Menu.Garanzie;POSIZIONE.DETTAGLI.MENU.GARANZIE
Posizione.Dettagli.Menu.Gruppo economico;POSIZIONE.DETTAGLI.MENU.GRUPPO_ECONOMICO
Posizione.Dettagli.Menu.Immobili;POSIZIONE.DETTAGLI.MENU.IMMOBILI
Posizione.Dettagli.Menu.Linee di credito;POSIZIONE.DETTAGLI.MENU.LINEE_DI_CREDITO
Posizione.Dettagli.Menu.Rapporti;POSIZIONE.DETTAGLI.MENU.RAPPORTI
Posizione.Dettagli.Menu.Contenziosi;POSIZIONE.DETTAGLI.MENU.CONTENZIOSI
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Denominazione;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.DENOMINAZIONE
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Tipo legame;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.TIPO_LEGAME
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Codice Fiscale;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.CODICE_FISCALE
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Data Di Nascita;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.DATA_DI_NASCITA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Email;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.EMAIL
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Indirizzo Domicilio;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.INDIRIZZO_DOMICILIO
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Luogo e Provincia di nascita;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.LUOGO_E_PROVINCIA_DI_NASCITA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Natura giuridica;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.NATURA_GIURIDICA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Nazionalità;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.NAZIONALITA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.NDG Collegato;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.NDG_COLLEGATO
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Numero di telefono;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.NUMERO_DI_TELEFONO
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Partita IVA;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.PARTITA_IVA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Indirizzo Residenza;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.INDIRIZZO_RESIDENZA
Posizione.dettagli.collegamenti.Sezione collegato.elenco.Nessun collegato;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.ELENCO.NESSUN_COLLEGATO
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.Titolo;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.TITOLO
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.NDG Cointestatario;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.NDG_COINTESTATARIO
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Denominazione;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.DENOMINAZIONE
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Natura giuridica;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.NATURA_GIURIDICA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Indirizzo Residenza;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.INDIRIZZO_RESIDENZA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Indirizzo Domicilio;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.INDIRIZZO_DOMICILIO
